iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	A 	B 	C 	
-1 	 0.0000000000e+00 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	
0 	 1.0230000000e-17 	  1.0240000000e-17 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0000000000e+00 	1.1331272023e-17 	3.0814433365e-36 	
1 	 1.0485750000e-14 	  1.0485760000e-14 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0000000000e+00 	1.1614553824e-14 	2.0251115448e-30 	
2 	 1.0737418230e-11 	  1.0737418240e-11 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.9999999999e-01 	1.1893314447e-11 	2.1234861995e-24 	
3 	 1.0995116278e-08 	  1.0995116278e-08 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.9999998782e-01 	1.2178753928e-08 	2.2266366597e-18 	
4 	 1.1258999068e-05 	  1.1258999068e-05 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.9998752903e-01 	1.2470964003e-05 	2.3347874285e-12 	
5 	 5.7646075230e-03 	  1.4411518808e-03 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.9363516682e-01 	6.3642224870e-03 	6.1069767845e-07 	
6 	 2.8823037615e-02 	  2.8823037615e-03 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.6857836854e-01 	3.1406496797e-02 	1.5134665102e-05 	
7 	 8.0704505322e-02 	  5.7646075230e-03 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.1448653048e-01 	8.5397110795e-02 	1.1635872049e-04 	
8 	 1.7870283321e-01 	  1.1529215046e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.2041814991e-01 	1.7903175479e-01 	5.5009530368e-04 	
9 	 3.1705341377e-01 	  2.3058430092e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.0385187838e-01 	2.9450164663e-01 	1.6464749942e-03 	
10 	 5.4763771469e-01 	  2.3058430092e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.4520081632e-01 	4.5027059266e-01 	4.5285910205e-03 	
11 	 8.7045573598e-01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.8128941378e-01 	6.0844543380e-01 	1.0265152417e-02 	
12 	 1.3316243378e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.2876392417e-01 	7.5044890982e-01 	2.0787166003e-02 	
13 	 1.7927929397e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.3725252030e-01 	8.2978168726e-01 	3.2965792442e-02 	
14 	 2.2539615415e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.2348011803e-02 	8.7160291872e-01 	4.6049069480e-02 	
15 	 2.7151301433e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.9406706946e-02 	8.9100609536e-01 	5.9587197692e-02 	
16 	 3.1762987452e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.9642764139e-02 	8.9704558890e-01 	7.3311646964e-02 	
17 	 3.6374673470e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.7784902499e-02 	8.9515247372e-01 	8.7062623781e-02 	
18 	 4.0986359489e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0670487928e-02 	8.8858395831e-01 	1.0074555376e-01 	
19 	 4.5598045507e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.4020206253e-03 	8.7929300680e-01 	1.1430497258e-01 	
20 	 5.0209731526e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.8410491033e-03 	8.6845008939e-01 	1.2770886151e-01 	
21 	 5.4821417544e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.3045315030e-03 	8.5675621906e-01 	1.4093924943e-01 	
22 	 5.9433103562e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.3826601289e-03 	8.4463076530e-01 	1.5398657457e-01 	
23 	 6.4044789581e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.2956081513e-04 	8.3232413724e-01 	1.6684630195e-01 	
24 	 6.8656475599e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.9771533264e-04 	8.1998539039e-01 	1.7951689428e-01 	
25 	 7.3268161618e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.9861650626e-04 	8.0770278872e-01 	1.9199859478e-01 	
26 	 7.7879847636e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.7916228809e-04 	7.9552814054e-01 	2.0429269718e-01 	
27 	 8.2491533655e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0749280364e-04 	7.8349139916e-01 	2.1640110803e-01 	
28 	 8.7103219673e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.4492940778e-05 	7.7160942268e-01 	2.2832608438e-01 	
29 	 9.1714905691e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.8694119692e-05 	7.5989122932e-01 	2.4007007656e-01 	
30 	 9.6326591710e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.3215484992e-05 	7.4834115026e-01 	2.5163563425e-01 	
31 	 1.0093827773e+01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.3928698926e-05 	7.3696072103e-01 	2.6302535027e-01 	
32 	 1.0554996375e+01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.3568641298e-06 	7.2574981599e-01 	2.7424182715e-01 	
33 	 1.1016164977e+01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.0139053512e-06 	7.1470732878e-01 	2.8528765731e-01 	
34 	 1.1477333578e+01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.0082153402e-06 	7.0383158035e-01 	2.9616541143e-01 	
35 	 1.1938502180e+01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.8048524851e-06 	6.9312056348e-01 	3.0687763166e-01 	
36 	 1.2399670782e+01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0828654616e-06 	6.8257208928e-01 	3.1742682786e-01 	
37 	 1.2860839384e+01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.4969166043e-07 	6.7218387483e-01 	3.2781547548e-01 	
38 	 1.3460358566e+01 	  9.2233720369e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.3437767994e-07 	6.5891495831e-01 	3.4108470731e-01 	
39 	 1.4382695770e+01 	  9.2233720369e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.2032634635e-07 	6.3901062438e-01 	3.6098925529e-01 	
40 	 1.5305032974e+01 	  9.2233720369e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.3299629416e-08 	6.1970742721e-01 	3.8029252949e-01 	
41 	 1.6297266694e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.4419068316e-08 	5.9959191216e-01 	4.0040807342e-01 	
42 	 1.7297266694e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.7604615387e-09 	5.7997950642e-01 	4.2002048882e-01 	
43 	 1.8297266694e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.5716684022e-09 	5.6100860840e-01 	4.3899139002e-01 	
44 	 1.9297266694e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.1888699159e-10 	5.4265823889e-01 	4.5734176059e-01 	
45 	 2.0297266694e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.7131076102e-10 	5.2490810204e-01 	4.7509189778e-01 	
46 	 2.1297266694e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.6558320628e-11 	5.0773856495e-01 	4.9226143499e-01 	
47 	 2.2297266694e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.8672753616e-11 	4.9113063658e-01 	5.0886936340e-01 	
48 	 2.3297266694e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.1648175501e-12 	4.7506594697e-01 	5.2493405302e-01 	
49 	 2.4297266694e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.0353171368e-12 	4.5952672703e-01 	5.4047327297e-01 	
50 	 2.5297266694e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.7196081856e-13 	4.4449578884e-01 	5.5550421116e-01 	
51 	 2.6297266694e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.2184815011e-13 	4.2995650672e-01 	5.7004349328e-01 	
52 	 2.7297266694e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.3243261137e-14 	4.1589279878e-01 	5.8410720122e-01 	
53 	 2.8297266694e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.4181293823e-14 	4.0228910920e-01 	5.9771089080e-01 	
54 	 2.9297266694e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.9834644429e-15 	3.8913039094e-01 	6.1086960906e-01 	
55 	 3.0297266694e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.6357441821e-15 	3.7640208916e-01 	6.2359791084e-01 	
