iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	Ar 	CO2 	H2O 	N2 	O1D 	O 	O2 	O3 	M 	
-1 	 0.0000000000e+00 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	7.5000000000e-01 	8.1000000000e-06 	4.6373815300e-13 	
0 	 1.0230000000e-17 	  1.0240000000e-17 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	5.4765414101e-31 	9.5292487135e-28 	7.5000000000e-01 	8.1000000000e-06 	4.6373815300e-13 	
1 	 1.0485750000e-14 	  1.0485760000e-14 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	5.6141750771e-28 	9.7674799313e-25 	7.5000000000e-01 	8.1000000000e-06 	4.6373815300e-13 	
2 	 1.0737418230e-11 	  1.0737418240e-11 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	5.7489210790e-25 	1.0001908979e-21 	7.5000000000e-01 	8.1000000000e-06 	4.6373815300e-13 	
3 	 1.0995116278e-08 	  1.0995116278e-08 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	5.8868858000e-22 	1.0241954813e-18 	7.5000000000e-01 	8.1000000000e-06 	4.6373815300e-13 	
4 	 1.1258999068e-05 	  1.1258999068e-05 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	6.0183286394e-19 	1.0487771571e-15 	7.5000000000e-01 	8.0999999990e-06 	4.6373815300e-13 	
5 	 1.1529215046e-02 	  1.1529215046e-02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.7961047295e-16 	1.0743844040e-12 	7.5000000000e-01 	8.0999989254e-06 	4.6373815300e-13 	
6 	 1.1805916207e+01 	  1.1805916207e+01 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.8419036027e-16 	1.1002786611e-09 	7.5000000110e-01 	8.0988997215e-06 	4.6373815300e-13 	
7 	 7.8889465931e+02 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.8255072607e-16 	7.3194901326e-08 	7.5000007320e-01 	8.0268047493e-06 	4.6373815300e-13 	
8 	 1.7888946593e+03 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.8046220203e-16 	1.6502612850e-07 	7.5000016503e-01 	7.9349720155e-06 	4.6373815300e-13 	
