iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	Ar 	CO2 	H2O 	N2 	O1D 	O 	O2 	O3 	M 	
9 	 2.7888946593e+03 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.7839755918e-16 	2.5580614925e-07 	7.5000025581e-01 	7.8441893367e-06 	4.6373815300e-13 	
10 	 3.7888946593e+03 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.7635652477e-16 	3.4554699691e-07 	7.5000034556e-01 	7.7544447192e-06 	4.6373815300e-13 	
11 	 4.7888946593e+03 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.7433882913e-16 	4.3426056705e-07 	7.5000043428e-01 	7.6657263061e-06 	4.6373815300e-13 	
12 	 5.7888946593e+03 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.7234420567e-16 	5.2195861908e-07 	7.5000052199e-01 	7.5780223758e-06 	4.6373815300e-13 	
13 	 6.7888946593e+03 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.7037239084e-16 	6.0865277782e-07 	7.5000060869e-01 	7.4913213402e-06 	4.6373815300e-13 	
14 	 7.7888946593e+03 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.6842312410e-16 	6.9435453497e-07 	7.5000069441e-01 	7.4056117431e-06 	4.6373815300e-13 	
15 	 8.7888946593e+03 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.6649614787e-16 	7.7907525074e-07 	7.5000077914e-01 	7.3208822592e-06 	4.6373815300e-13 	
16 	 9.7888946593e+03 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.6459120752e-16 	8.6282615525e-07 	7.5000086290e-01 	7.2371216921e-06 	4.6373815300e-13 	
17 	 1.0788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.6270805131e-16 	9.4561835009e-07 	7.5000094571e-01 	7.1543189731e-06 	4.6373815300e-13 	
18 	 1.1788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.6084643038e-16 	1.0274628098e-06 	7.5000102757e-01 	7.0724631597e-06 	4.6373815300e-13 	
19 	 1.2788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.5900609869e-16 	1.1083703832e-06 	7.5000110850e-01 	6.9915434341e-06 	4.6373815300e-13 	
20 	 1.3788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.5718681302e-16 	1.1883517950e-06 	7.5000118850e-01 	6.9115491019e-06 	4.6373815300e-13 	
21 	 1.4788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.5538833293e-16 	1.2674176471e-06 	7.5000126759e-01 	6.8324695907e-06 	4.6373815300e-13 	
22 	 1.5788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.5361042070e-16 	1.3455784201e-06 	7.5000134577e-01 	6.7542944485e-06 	4.6373815300e-13 	
23 	 1.6788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.5185284134e-16 	1.4228444746e-06 	7.5000142306e-01 	6.6770133426e-06 	4.6373815300e-13 	
24 	 1.7788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.5011536253e-16 	1.4992260525e-06 	7.5000149946e-01 	6.6006160580e-06 	4.6373815300e-13 	
25 	 1.8788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.4839775460e-16 	1.5747332786e-06 	7.5000157499e-01 	6.5250924965e-06 	4.6373815300e-13 	
26 	 1.9788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.4669979051e-16 	1.6493761618e-06 	7.5000164966e-01 	6.4504326746e-06 	4.6373815300e-13 	
27 	 2.0788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.4502124580e-16 	1.7231645964e-06 	7.5000172348e-01 	6.3766267231e-06 	4.6373815300e-13 	
28 	 2.1788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.4336189856e-16 	1.7961083632e-06 	7.5000179645e-01 	6.3036648852e-06 	4.6373815300e-13 	
29 	 2.2788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.4172152943e-16 	1.8682171315e-06 	7.5000186859e-01 	6.2315375152e-06 	4.6373815300e-13 	
30 	 2.3788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.4009992154e-16 	1.9395004595e-06 	7.5000193990e-01 	6.1602350778e-06 	4.6373815300e-13 	
31 	 2.4788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.3849686051e-16 	2.0099677962e-06 	7.5000201039e-01 	6.0897481462e-06 	4.6373815300e-13 	
32 	 2.5788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.3691213438e-16 	2.0796284823e-06 	7.5000208008e-01 	6.0200674011e-06 	4.6373815300e-13 	
33 	 2.6788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.3534553364e-16 	2.1484917519e-06 	7.5000214898e-01 	5.9511836298e-06 	4.6373815300e-13 	
34 	 2.7788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.3379685113e-16 	2.2165667329e-06 	7.5000221709e-01 	5.8830877244e-06 	4.6373815300e-13 	
35 	 2.8788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.3226588209e-16 	2.2838624491e-06 	7.5000228441e-01 	5.8157706811e-06 	4.6373815300e-13 	
36 	 2.9788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.3075242408e-16 	2.3503878208e-06 	7.5000235097e-01 	5.7492235987e-06 	4.6373815300e-13 	
37 	 3.0788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.2925627697e-16 	2.4161516663e-06 	7.5000241677e-01 	5.6834376776e-06 	4.6373815300e-13 	
38 	 3.1788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.2777724292e-16 	2.4811627030e-06 	7.5000248181e-01 	5.6184042188e-06 	4.6373815300e-13 	
39 	 3.2788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.2631512634e-16 	2.5454295482e-06 	7.5000254611e-01 	5.5541146222e-06 	4.6373815300e-13 	
40 	 3.3788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.2486973387e-16 	2.6089607210e-06 	7.5000260968e-01 	5.4905603862e-06 	4.6373815300e-13 	
41 	 3.4788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.2344087437e-16 	2.6717646427e-06 	7.5000267252e-01 	5.4277331058e-06 	4.6373815300e-13 	
42 	 3.5788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.2202835886e-16 	2.7338496382e-06 	7.5000273464e-01 	5.3656244724e-06 	4.6373815300e-13 	
43 	 3.6788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.2063200055e-16 	2.7952239372e-06 	7.5000279605e-01 	5.3042262719e-06 	4.6373815300e-13 	
44 	 3.7788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.1925161474e-16 	2.8558956751e-06 	7.5000285676e-01 	5.2435303840e-06 	4.6373815300e-13 	
45 	 3.8788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.1788701888e-16 	2.9158728944e-06 	7.5000291677e-01 	5.1835287811e-06 	4.6373815300e-13 	
46 	 3.9788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.1653803246e-16 	2.9751635452e-06 	7.5000297610e-01 	5.1242135273e-06 	4.6373815300e-13 	
47 	 4.0788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.1520447708e-16 	3.0337754869e-06 	7.5000303475e-01 	5.0655767770e-06 	4.6373815300e-13 	
48 	 4.1788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.1388617632e-16 	3.0917164886e-06 	7.5000309273e-01 	5.0076107746e-06 	4.6373815300e-13 	
49 	 4.2788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.1258295583e-16 	3.1489942308e-06 	7.5000315004e-01 	4.9503078527e-06 	4.6373815300e-13 	
50 	 4.3788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.1129464320e-16 	3.2056163060e-06 	7.5000320670e-01 	4.8936604314e-06 	4.6373815300e-13 	
51 	 4.4788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.1002106803e-16 	3.2615902195e-06 	7.5000326271e-01 	4.8376610176e-06 	4.6373815300e-13 	
52 	 4.5788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.0876206184e-16 	3.3169233911e-06 	7.5000331809e-01 	4.7823022035e-06 	4.6373815300e-13 	
53 	 4.6788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.0751745809e-16 	3.3716231555e-06 	7.5000337282e-01 	4.7275766659e-06 	4.6373815300e-13 	
54 	 4.7788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.0628709211e-16 	3.4256967633e-06 	7.5000342694e-01 	4.6734771652e-06 	4.6373815300e-13 	
55 	 4.8788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.0507080115e-16 	3.4791513822e-06 	7.5000348043e-01 	4.6199965447e-06 	4.6373815300e-13 	
56 	 4.9788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.0386842429e-16 	3.5319940980e-06 	7.5000353331e-01 	4.5671277290e-06 	4.6373815300e-13 	
57 	 5.0788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.0267980247e-16 	3.5842319151e-06 	7.5000358559e-01 	4.5148637238e-06 	4.6373815300e-13 	
58 	 5.1788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.0150477842e-16 	3.6358717580e-06 	7.5000363727e-01 	4.4631976146e-06 	4.6373815300e-13 	
59 	 5.2788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	1.0034319668e-16 	3.6869204718e-06 	7.5000368836e-01 	4.4121225656e-06 	4.6373815300e-13 	
60 	 5.3788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	9.9194903572e-17 	3.7373848232e-06 	7.5000373886e-01 	4.3616318195e-06 	4.6373815300e-13 	
61 	 5.4788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	9.8059747161e-17 	3.7872715014e-06 	7.5000378879e-01 	4.3117186957e-06 	4.6373815300e-13 	
62 	 5.5788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	9.6937577252e-17 	3.8365871193e-06 	7.5000383814e-01 	4.2623765902e-06 	4.6373815300e-13 	
63 	 5.6788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	9.5828245364e-17 	3.8853382138e-06 	7.5000388693e-01 	4.2135989744e-06 	4.6373815300e-13 	
64 	 5.7788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	9.4731604712e-17 	3.9335312472e-06 	7.5000393517e-01 	4.1653793940e-06 	4.6373815300e-13 	
65 	 5.8788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	9.3647510186e-17 	3.9811726076e-06 	7.5000398285e-01 	4.1177114687e-06 	4.6373815300e-13 	
66 	 5.9788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	9.2575818336e-17 	4.0282686101e-06 	7.5000402998e-01 	4.0705888910e-06 	4.6373815300e-13 	
67 	 6.0788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	9.1516387349e-17 	4.0748254976e-06 	7.5000407658e-01 	4.0240054252e-06 	4.6373815300e-13 	
68 	 6.1788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	9.0469077029e-17 	4.1208494414e-06 	7.5000412264e-01 	3.9779549071e-06 	4.6373815300e-13 	
69 	 6.2788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	8.9433748787e-17 	4.1663465421e-06 	7.5000416818e-01 	3.9324312429e-06 	4.6373815300e-13 	
70 	 6.3788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	8.8410265611e-17 	4.2113228306e-06 	7.5000421320e-01 	3.8874284081e-06 	4.6373815300e-13 	
71 	 6.4788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	8.7398492057e-17 	4.2557842688e-06 	7.5000425770e-01 	3.8429404474e-06 	4.6373815300e-13 	
72 	 6.5788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	8.6398294229e-17 	4.2997367502e-06 	7.5000430169e-01 	3.7989614733e-06 	4.6373815300e-13 	
73 	 6.6788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	8.5409539758e-17 	4.3431861009e-06 	7.5000434518e-01 	3.7554856655e-06 	4.6373815300e-13 	
74 	 6.7788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	8.4432097788e-17 	4.3861380804e-06 	7.5000438817e-01 	3.7125072703e-06 	4.6373815300e-13 	
75 	 6.8788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	8.3465838959e-17 	4.4285983821e-06 	7.5000443067e-01 	3.6700205997e-06 	4.6373815300e-13 	
76 	 6.9788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	8.2510635386e-17 	4.4705726344e-06 	7.5000447268e-01 	3.6280200308e-06 	4.6373815300e-13 	
77 	 7.0788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	8.1566360648e-17 	4.5120664011e-06 	7.5000451422e-01 	3.5865000046e-06 	4.6373815300e-13 	
78 	 7.1788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	8.0632889766e-17 	4.5530851824e-06 	7.5000455527e-01 	3.5454550260e-06 	4.6373815300e-13 	
79 	 7.2788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	7.9710099190e-17 	4.5936344157e-06 	7.5000459586e-01 	3.5048796624e-06 	4.6373815300e-13 	
80 	 7.3788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	7.8797866780e-17 	4.6337194757e-06 	7.5000463599e-01 	3.4647685433e-06 	4.6373815300e-13 	
81 	 7.4788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	7.7896071795e-17 	4.6733456761e-06 	7.5000467565e-01 	3.4251163597e-06 	4.6373815300e-13 	
82 	 7.5788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	7.7004594868e-17 	4.7125182695e-06 	7.5000471486e-01 	3.3859178632e-06 	4.6373815300e-13 	
83 	 7.6788894659e+04 	  1.0000000000e+02 	 0.0000000000e+00 	6.1520498050e+03 	2.0663742070e+02 	3.3400000000e-02 	1.4600000000e-03 	1.1900000000e-05 	2.8000000000e+00 	7.6123318000e-17 	4.7512424484e-06 	7.5000475363e-01 	3.3471678652e-06 	4.6373815300e-13 	
