iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	A 	B 	C 	D 	
-1 	 0.0000000000e+00 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	4.4588438620e-14 	
-1 	 0.0000000000e+00 	  1.0000000000e-01 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	2.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	6.2776977857e-13 	
-1 	 0.0000000000e+00 	  1.0000000000e-01 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	3.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	5.9868980800e-13 	
-1 	 0.0000000000e+00 	  1.0000000000e-01 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	4.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	3.4126292340e-13 	
-1 	 0.0000000000e+00 	  1.0000000000e-01 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	5.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	1.3962679001e-13 	
0 	 3.3554431000e-13 	  3.3554432000e-13 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0000000000e+00 	4.1850627629e-13 	6.3937658590e-28 	4.4588438620e-14 	
0 	 3.3554431000e-13 	  3.3554432000e-13 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	2.0000000000e+00 	1.1408506562e-11 	1.3739844944e-27 	6.2776977857e-13 	
0 	 3.3554431000e-13 	  3.3554432000e-13 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	2.9999998289e+00 	1.7110683147e-07 	2.8645906571e-21 	5.9868980800e-13 	
0 	 3.3554431000e-13 	  3.3554432000e-13 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	4.0000000000e+00 	1.2514454646e-11 	2.6303564226e-26 	3.4126292340e-13 	
0 	 3.3554431000e-13 	  3.3554432000e-13 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	5.0000000000e+00 	6.7108862080e-12 	5.9296352703e-28 	1.3962679001e-13 	
1 	 1.1258999068e-05 	  1.1258999068e-05 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.9998595736e-01 	1.4042641489e-05 	7.1987056958e-13 	4.4588438620e-14 	
1 	 1.1258999068e-05 	  1.1258999068e-05 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	1.9996172307e+00 	3.8276933483e-04 	1.5468669881e-12 	6.2776977857e-13 	
1 	 8.7960930222e-07 	  1.7592186044e-07 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	2.5833680269e+00 	4.1663195436e-01 	1.8735489044e-08 	5.9868980800e-13 	
1 	 1.1258999068e-05 	  1.1258999068e-05 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	3.9995801066e+00 	4.1989336000e-04 	2.9614108622e-11 	3.4126292340e-13 	
1 	 1.1258999068e-05 	  1.1258999068e-05 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	4.9997748251e+00 	2.2517491045e-04 	6.6760724872e-13 	1.3962679001e-13 	
2 	 6.9175290276e-02 	  5.7646075230e-03 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.1733852352e-01 	8.2635073431e-02 	2.6403051687e-05 	4.4588438620e-14 	
2 	 1.5132094748e-02 	  1.4411518808e-03 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	1.5463535689e+00 	4.5364386190e-01 	2.5692480108e-06 	6.2776977857e-13 	
2 	 6.5091088364e-06 	  3.5184372089e-07 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	9.9214575740e-01 	2.0078534727e+00 	7.6985756144e-07 	5.9868980800e-13 	
2 	 1.1168927076e-02 	  7.2057594038e-04 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	3.6043995489e+00 	3.9557229574e-01 	2.8155389084e-05 	3.4126292340e-13 	
2 	 3.6028797019e-02 	  2.8823037615e-03 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	4.3289380497e+00 	6.7105543107e-01 	6.5191861548e-06 	1.3962679001e-13 	
3 	 3.6893488147e-01 	  2.3058430092e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3118366036e-01 	3.6815026752e-01 	6.6607211920e-04 	4.4588438620e-14 	
3 	 6.1248954932e-02 	  2.8823037615e-03 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	7.0600625104e-01 	1.2939604552e+00 	3.3293766123e-05 	6.2776977857e-13 	
3 	 1.5305201859e-05 	  3.5184372089e-07 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	2.2240457291e-01 	2.7775924759e+00 	2.9511907365e-06 	5.9868980800e-13 	
3 	 5.7285787260e-02 	  2.8823037615e-03 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	2.3446918890e+00 	1.6546616870e+00 	6.4642399947e-04 	3.4126292340e-13 	
3 	 1.5420325124e-01 	  5.7646075230e-03 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	2.6982837770e+00 	2.3016132184e+00 	1.0300452837e-04 	1.3962679001e-13 	
4 	 1.1529215046e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.3738604077e-01 	7.5770218919e-01 	4.9117700346e-03 	4.4588438620e-14 	
4 	 1.3330654897e-01 	  2.8823037615e-03 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	2.0737432604e-01 	1.7925099864e+00 	1.1568753803e-04 	6.2776977857e-13 	
4 	 2.4101294881e-05 	  3.5184372089e-07 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	4.9855370224e-02 	2.9501391467e+00 	5.4831065993e-06 	5.9868980800e-13 	
