iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	A 	B 	C 	D 	
4 	 1.6969563396e-01 	  5.7646075230e-03 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	8.2196954811e-01 	3.1738001000e+00 	4.2303518952e-03 	3.4126292340e-13 	
4 	 4.3090441235e-01 	  1.1529215046e-02 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	8.9200697041e-01 	4.1073992614e+00 	5.9376823457e-04 	1.3962679001e-13 	
5 	 2.3058430092e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.6346355777e-02 	9.2966267184e-01 	1.3990972384e-02 	4.4588438620e-14 	
5 	 2.0536414301e-01 	  2.8823037615e-03 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	6.0911799348e-02 	1.9388752532e+00 	2.1294743873e-04 	6.2776977857e-13 	
5 	 3.2897387903e-05 	  3.5184372089e-07 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	1.1175840081e-02 	2.9888160663e+00 	8.0936091145e-06 	5.9868980800e-13 	
5 	 3.1381082204e-01 	  5.7646075230e-03 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	2.1439415728e-01 	3.7749831816e+00 	1.0622661121e-02 	3.4126292340e-13 	
5 	 7.1913478850e-01 	  1.1529215046e-02 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	2.8159020717e-01 	4.7171375419e+00 	1.2722509765e-03 	1.3962679001e-13 	
6 	 3.4587645138e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.3374467172e-02 	9.6264863713e-01 	2.3976895695e-02 	4.4588438620e-14 	
6 	 2.7742173705e-01 	  2.8823037615e-03 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	1.7891546030e-02 	1.9817938838e+00 	3.1457016974e-04 	6.2776977857e-13 	
6 	 4.1693480925e-05 	  3.5184372089e-07 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	2.5052346610e-03 	2.9974840436e+00 	1.0721726231e-05 	5.9868980800e-13 	
6 	 4.5792601011e-01 	  5.7646075230e-03 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	5.5920386321e-02 	3.9264734089e+00 	1.7606204735e-02 	3.4126292340e-13 	
6 	 1.0073651647e+00 	  1.1529215046e-02 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	8.8892853311e-02 	4.9091015222e+00 	2.0056245336e-03 	1.3962679001e-13 	
7 	 4.6116860184e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.1745863536e-03 	9.6272915751e-01 	3.4096256137e-02 	4.4588438620e-14 	
7 	 3.4947933108e-01 	  2.8823037615e-03 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	5.2552612591e-03 	1.9943272681e+00 	4.1747061063e-04 	6.2776977857e-13 	
7 	 5.0489573947e-05 	  3.5184372089e-07 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	5.6158648128e-04 	2.9994250597e+00 	1.3353790135e-05 	5.9868980800e-13 	
7 	 6.0204119819e-01 	  5.7646075230e-03 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	1.4585703482e-02 	3.9606799263e+00 	2.4734370200e-02 	3.4126292340e-13 	
7 	 1.2955955408e+00 	  1.1529215046e-02 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	2.8061840109e-02 	4.9691819126e+00 	2.7562473060e-03 	1.3962679001e-13 	
8 	 5.7646075230e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.5352523486e-04 	9.5508011489e-01 	4.4166359870e-02 	4.4588438620e-14 	
8 	 4.2153692512e-01 	  2.8823037615e-03 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	1.5436212642e-03 	1.9979356362e+00 	5.2074257306e-04 	6.2776977857e-13 	
8 	 5.9285666970e-05 	  3.5184372089e-07 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	1.2588815765e-04 	2.9998581251e+00 	1.5986736979e-05 	5.9868980800e-13 	
8 	 7.4615638626e-01 	  5.7646075230e-03 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	3.8043862008e-03 	3.9643049288e+00 	3.1890684952e-02 	3.4126292340e-13 	
8 	 1.5838259170e+00 	  1.1529215046e-02 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	8.8586071992e-03 	4.9876291563e+00 	3.5122365444e-03 	1.3962679001e-13 	
9 	 6.9175290276e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.7885803576e-04 	9.4567645438e-01 	5.4144687583e-02 	4.4588438620e-14 	
9 	 4.9359451916e-01 	  2.8823037615e-03 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	4.5340592787e-04 	1.9989224742e+00 	6.2411988367e-04 	6.2776977857e-13 	
9 	 6.8081759992e-05 	  3.5184372089e-07 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	2.8219746674e-05 	2.9999531604e+00 	1.8619879953e-05 	5.9868980800e-13 	
9 	 8.9027157434e-01 	  5.7646075230e-03 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	9.9229731241e-04 	3.9599629159e+00 	3.9044786743e-02 	3.4126292340e-13 	
9 	 1.8720562931e+00 	  1.1529215046e-02 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	2.7964994885e-03 	4.9929336594e+00 	4.2698410952e-03 	1.3962679001e-13 	
10 	 8.0704505322e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.2454048620e-05 	9.3593556275e-01 	6.4021983199e-02 	4.4588438620e-14 	
10 	 5.6565211320e-01 	  2.8823037615e-03 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	1.3317835158e-04 	1.9991392973e+00 	7.2752435989e-04 	6.2776977857e-13 	
10 	 7.6877853014e-05 	  3.5184372089e-07 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	6.3258857480e-06 	2.9999724210e+00 	2.1253065101e-05 	5.9868980800e-13 	
10 	 1.0343867624e+00 	  5.7646075230e-03 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	2.5882071489e-04 	3.9535524059e+00 	4.6188773428e-02 	3.4126292340e-13 	
10 	 2.1602866693e+00 	  1.1529215046e-02 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	8.8280349417e-04 	4.9940893197e+00 	5.0278768001e-03 	1.3962679001e-13 	
11 	 9.2233720369e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0076965436e-05 	9.2619304571e-01 	7.3796877329e-02 	4.4588438620e-14 	
11 	 6.3770970724e-01 	  2.8823037615e-03 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	3.9118309308e-05 	1.9991299487e+00 	8.3093303745e-04 	6.2776977857e-13 	
11 	 8.5673946036e-05 	  3.5184372089e-07 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	1.4180435763e-06 	2.9999746957e+00 	2.3886257909e-05 	5.9868980800e-13 	
11 	 1.1785019505e+00 	  5.7646075230e-03 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	6.7508156698e-05 	3.9466118907e+00 	5.3320601099e-02 	3.4126292340e-13 	
11 	 2.4485170454e+00 	  1.1529215046e-02 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	2.7868483886e-04 	4.9939353453e+00 	5.7859698540e-03 	1.3962679001e-13 	
12 	 1.0376293541e+01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.3918857138e-06 	9.1652774418e-01 	8.3469863934e-02 	4.4588438620e-14 	
12 	 7.0976730127e-01 	  2.8823037615e-03 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	1.1490171676e-05 	1.9990541707e+00 	9.3433917128e-04 	6.2776977857e-13 	
12 	 9.4470039059e-05 	  3.5184372089e-07 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	3.1787605159e-07 	2.9999731627e+00 	2.6519450640e-05 	5.9868980800e-13 	
12 	 1.3226171386e+00 	  5.7646075230e-03 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	1.7608139374e-05 	3.9395426380e+00 	6.0439753817e-02 	3.4126292340e-13 	
12 	 2.7367474216e+00 	  1.1529215046e-02 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	8.7975681932e-05 	4.9933680221e+00 	6.5440022656e-03 	1.3962679001e-13 	
13 	 1.1529215046e+01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.6774207518e-07 	9.0695756155e-01 	9.3041870711e-02 	4.4588438620e-14 	
13 	 7.8182489531e-01 	  2.8823037615e-03 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	3.3749936405e-06 	1.9989588842e+00 	1.0377407803e-03 	6.2776977857e-13 	
13 	 1.1100669394e-04 	  1.4073748836e-06 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	1.9083585460e-08 	2.9999685111e+00 	3.1469847758e-05 	5.9868980800e-13 	
13 	 1.4667323266e+00 	  5.7646075230e-03 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	4.5927275665e-06 	3.9324492931e+00 	6.7546114153e-02 	3.4126292340e-13 	
13 	 3.0249777977e+00 	  1.1529215046e-02 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	2.7772305960e-05 	4.9926702909e+00 	7.3019367989e-03 	1.3962679001e-13 	
14 	 1.3235538873e+01 	  9.2233720369e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.7532829140e-08 	8.9297462942e-01 	1.0702530305e-01 	4.4588438620e-14 	
14 	 8.5388248935e-01 	  2.8823037615e-03 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	9.9133262710e-07 	1.9988578714e+00 	1.1411372830e-03 	6.2776977857e-13 	
14 	 2.2641143439e-04 	  2.2517998137e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	4.8078903382e-18 	2.9999339829e+00 	6.6017073771e-05 	5.9868980800e-13 	
14 	 1.6108475147e+00 	  5.7646075230e-03 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	1.1979202374e-06 	3.9253591335e+00 	7.4639668589e-02 	3.4126292340e-13 	
14 	 3.3132081739e+00 	  1.1529215046e-02 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	8.7672065896e-06 	4.9919314711e+00 	8.0597617114e-03 	1.3962679001e-13 	
15 	 1.5673408636e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.2224492713e-09 	8.7336942223e-01 	1.2663057454e-01 	4.4588438620e-14 	
15 	 9.6341003229e-01 	  5.7646075230e-03 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	1.5393415396e-07 	1.9987015562e+00 	1.2982898418e-03 	6.2776977857e-13 	
15 	 7.1054839433e-04 	  2.2517998137e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-4.4076450177e-19 	2.9997890574e+00 	2.1094256476e-04 	5.9868980800e-13 	
15 	 1.7722565254e+00 	  1.1529215046e-02 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	2.6588771831e-07 	3.9174304707e+00 	8.2569263438e-02 	3.4126292340e-13 	
15 	 3.6014385500e+00 	  1.1529215046e-02 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	2.7676459958e-06 	4.9911797590e+00 	8.8174733081e-03 	1.3962679001e-13 	
16 	 1.8173408636e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.4227983090e-10 	8.5371144862e-01 	1.4628855124e-01 	4.4588438620e-14 	
16 	 1.1882297257e+00 	  2.3058430092e-02 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	3.3471675103e-09 	1.9983791691e+00 	1.6208275046e-03 	6.2776977857e-13 	
16 	 1.2059443533e-03 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-6.4133849645e-19 	2.9996407688e+00 	3.5923116860e-04 	5.9868980800e-13 	
16 	 2.1181329767e+00 	  2.3058430092e-02 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	1.0538670383e-08 	3.9004926331e+00 	9.9507356332e-02 	3.4126292340e-13 	
16 	 3.8896689262e+00 	  1.1529215046e-02 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	8.7369497680e-07 	4.9904240559e+00 	9.5750704343e-03 	1.3962679001e-13 	
17 	 2.0673408636e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.2820376349e-12 	8.3449593778e-01 	1.6550406221e-01 	4.4588438620e-14 	
17 	 3.0263398974e+00 	  1.0000000000e-01 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	8.7699373100e-29 	1.9957440786e+00 	4.2559213956e-03 	6.2776977857e-13 	
17 	 1.7013403124e-03 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-9.3318555684e-19 	2.9994924876e+00 	5.0751244208e-04 	5.9868980800e-13 	
17 	 3.9407105892e+00 	  1.0000000000e-01 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	2.4725325850e-16 	3.8124405776e+00 	1.8755942236e-01 	3.4126292340e-13 	
17 	 4.4200128183e+00 	  2.3058430092e-02 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.0465480781e-07 	4.9890311463e+00 	1.0968749062e-02 	1.3962679001e-13 	
18 	 2.3173408636e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.7736955197e-13 	8.1571293345e-01 	1.8428706655e-01 	4.4588438620e-14 	
18 	 5.5263398974e+00 	  1.0000000000e-01 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	4.7096750716e-63 	1.9921656828e+00 	7.8343171609e-03 	6.2776977857e-13 	
18 	 2.1967362714e-03 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-1.3578403422e-18 	2.9993442136e+00 	6.5578638558e-04 	5.9868980800e-13 	
18 	 6.4407105892e+00 	  1.0000000000e-01 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	3.3543382097e-27 	3.6948851756e+00 	3.0511482440e-01 	3.4126292340e-13 	
18 	 5.6882264734e+00 	  1.0000000000e-01 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	6.4515914800e-10 	4.9857001183e+00 	1.4299881066e-02 	1.3962679001e-13 	
19 	 2.5673408636e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.2245962453e-14 	7.9735270078e-01 	2.0264729922e-01 	4.4588438620e-14 	
19 	 8.0263398974e+00 	  1.0000000000e-01 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	2.5292129802e-97 	1.9885937032e+00 	1.1406296815e-02 	6.2776977857e-13 	
19 	 2.6808732313e-03 	  2.2517998137e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-4.6397167974e-19 	2.9991993166e+00 	8.0068338508e-04 	5.9868980800e-13 	
19 	 8.9407105892e+00 	  1.0000000000e-01 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	4.2437127699e-38 	3.5809545573e+00 	4.1904544271e-01 	3.4126292340e-13 	
19 	 8.1882264734e+00 	  1.0000000000e-01 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	2.7364486158e-14 	4.9791400484e+00 	2.0859951624e-02 	1.3962679001e-13 	
20 	 2.8173408636e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.4059603401e-16 	7.7940572397e-01 	2.2059427603e-01 	4.4588438620e-14 	
20 	 1.0526339897e+01 	  1.0000000000e-01 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	1.3582504529e-131 	1.9850281281e+00 	1.4971871862e-02 	6.2776977857e-13 	
20 	 3.1762691903e-03 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-6.7510631704e-19 	2.9990510572e+00 	9.4894283625e-04 	5.9868980800e-13 	
20 	 1.1440710589e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	5.3688975134e-49 	3.4705369536e+00 	5.2946304637e-01 	3.4126292340e-13 	
20 	 1.0688226473e+01 	  1.0000000000e-01 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1454471171e-18 	4.9725886094e+00 	2.7411390591e-02 	1.3962679001e-13 	
21 	 3.0673408636e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.3864524582e-17 	7.6186270137e-01 	2.3813729863e-01 	4.4588438620e-14 	
21 	 1.3026339897e+01 	  1.0000000000e-01 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	7.2941437013e-166 	1.9814689462e+00 	1.8531053785e-02 	6.2776977857e-13 	
21 	 3.6716651493e-03 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-9.8231973893e-19 	2.9989028050e+00 	1.0971949585e-03 	5.9868980800e-13 	
21 	 1.3940710589e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	6.7924155269e-60 	3.3635240419e+00 	6.3647595806e-01 	3.4126292340e-13 	
21 	 1.3188226473e+01 	  1.0000000000e-01 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	4.7577445511e-23 	4.9660457907e+00 	3.3954209323e-02 	1.3962679001e-13 	
22 	 3.3173408636e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0534955821e-18 	7.4471454069e-01 	2.5528545931e-01 	4.4588438620e-14 	
22 	 1.5526339897e+01 	  1.0000000000e-01 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	3.9171370951e-200 	1.9779161460e+00 	2.2083854047e-02 	6.2776977857e-13 	
22 	 4.1670611083e-03 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-1.4293334918e-18 	2.9987545602e+00 	1.2454397522e-03 	5.9868980800e-13 	
22 	 1.6440710589e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	8.5933673671e-71 	3.2598108396e+00 	7.4018916040e-01 	3.4126292340e-13 	
22 	 1.5688226473e+01 	  1.0000000000e-01 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.9761831757e-27 	4.9595115808e+00 	4.0488419164e-02 	1.3962679001e-13 	
23 	 3.5673408636e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.6506392266e-20 	7.2795235429e-01 	2.7204764571e-01 	4.4588438620e-14 	
23 	 1.8026339897e+01 	  1.0000000000e-01 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	2.1036003197e-234 	1.9743697159e+00 	2.5630284092e-02 	6.2776977857e-13 	
23 	 4.6511980683e-03 	  2.2517998137e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-4.8840076443e-19 	2.9986096917e+00 	1.3903082658e-03 	5.9868980800e-13 	
23 	 1.8940710589e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	1.0871826439e-81 	3.1592956011e+00 	8.4070439887e-01 	3.4126292340e-13 	
23 	 1.8188226473e+01 	  1.0000000000e-01 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	8.2083010173e-32 	4.9529859686e+00 	4.7014031441e-02 	1.3962679001e-13 	
24 	 3.8173408636e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.0530171729e-21 	7.1156745460e-01 	2.8843254540e-01 	4.4588438620e-14 	
24 	 2.0526339897e+01 	  1.0000000000e-01 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	1.1296858388e-268 	1.9708296447e+00 	2.9170355339e-02 	6.2776977857e-13 	
24 	 5.1465940273e-03 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-7.1065208441e-19 	2.9984614614e+00 	1.5385385701e-03 	5.9868980800e-13 	
24 	 2.1440710589e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	1.3754399767e-92 	3.0618797183e+00 	9.3812028169e-01 	3.4126292340e-13 	
24 	 2.0688226473e+01 	  1.0000000000e-01 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	3.4094109503e-36 	4.9464689425e+00 	5.3531057465e-02 	1.3962679001e-13 	
