T P CH4(2) O2(3) N2
8.000000000000000000e+02 1.013250000000000000e+05 2.278279643202090615e-02 1.818078518266007526e-01 7.954093517413782788e-01
8.000000000000000000e+02 1.013250000000000000e+05 4.635302277193387860e-02 1.849497167957461774e-01 7.686972604323200065e-01
8.000000000000000000e+02 1.013250000000000000e+05 2.278279643202090615e-02 1.818078518266007526e-01 7.954093517413782788e-01
8.000000000000000000e+02 1.013250000000000000e+05 4.635302277193387860e-02 1.849497167957461774e-01 7.686972604323200065e-01
9.000000000000000000e+02 1.013250000000000000e+05 2.278279643202090615e-02 1.818078518266007526e-01 7.954093517413782788e-01
9.000000000000000000e+02 1.013250000000000000e+05 4.635302277193387860e-02 1.849497167957461774e-01 7.686972604323200065e-01
9.000000000000000000e+02 1.013250000000000000e+05 2.278279643202090615e-02 1.818078518266007526e-01 7.954093517413782788e-01
9.000000000000000000e+02 1.013250000000000000e+05 4.635302277193387860e-02 1.849497167957461774e-01 7.686972604323200065e-01
