T P CH4 O2 N2 AR
8.000000000000000000e+02 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
8.236842105263158373e+02 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
8.473684210526315610e+02 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
8.710526315789473983e+02 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
8.947368421052631220e+02 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
9.184210526315789593e+02 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
9.421052631578947967e+02 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
9.657894736842105203e+02 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
9.894736842105263577e+02 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
1.013157894736842081e+03 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
1.036842105263157919e+03 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
1.060526315789473756e+03 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
1.084210526315789593e+03 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
1.107894736842105203e+03 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
1.131578947368421041e+03 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
1.155263157894736878e+03 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
1.178947368421052715e+03 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
1.202631578947368325e+03 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
1.226315789473684163e+03 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
1.250000000000000000e+03 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
8.000000000000000000e+02 1.013250000000000000e+05 1.426808565824753128e-01 1.984266949197696639e-01 6.474228251882004903e-01 1.146962330955446363e-02
8.236842105263158373e+02 1.013250000000000000e+05 1.426808565824753128e-01 1.984266949197696639e-01 6.474228251882004903e-01 1.146962330955446363e-02
8.473684210526315610e+02 1.013250000000000000e+05 1.426808565824753128e-01 1.984266949197696639e-01 6.474228251882004903e-01 1.146962330955446363e-02
8.710526315789473983e+02 1.013250000000000000e+05 1.426808565824753128e-01 1.984266949197696639e-01 6.474228251882004903e-01 1.146962330955446363e-02
8.947368421052631220e+02 1.013250000000000000e+05 1.426808565824753128e-01 1.984266949197696639e-01 6.474228251882004903e-01 1.146962330955446363e-02
9.184210526315789593e+02 1.013250000000000000e+05 1.426808565824753128e-01 1.984266949197696639e-01 6.474228251882004903e-01 1.146962330955446363e-02
9.421052631578947967e+02 1.013250000000000000e+05 1.426808565824753128e-01 1.984266949197696639e-01 6.474228251882004903e-01 1.146962330955446363e-02
9.657894736842105203e+02 1.013250000000000000e+05 1.426808565824753128e-01 1.984266949197696639e-01 6.474228251882004903e-01 1.146962330955446363e-02
9.894736842105263577e+02 1.013250000000000000e+05 1.426808565824753128e-01 1.984266949197696639e-01 6.474228251882004903e-01 1.146962330955446363e-02
1.013157894736842081e+03 1.013250000000000000e+05 1.426808565824753128e-01 1.984266949197696639e-01 6.474228251882004903e-01 1.146962330955446363e-02
1.036842105263157919e+03 1.013250000000000000e+05 1.426808565824753128e-01 1.984266949197696639e-01 6.474228251882004903e-01 1.146962330955446363e-02
1.060526315789473756e+03 1.013250000000000000e+05 1.426808565824753128e-01 1.984266949197696639e-01 6.474228251882004903e-01 1.146962330955446363e-02
1.084210526315789593e+03 1.013250000000000000e+05 1.426808565824753128e-01 1.984266949197696639e-01 6.474228251882004903e-01 1.146962330955446363e-02
