iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	A 	B 	C 	
-1 	 0.0000000000e+00 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	
0 	 1.1258999068e-05 	  1.1258999068e-05 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.9998990215e-01 	1.0097848654e-05 	3.0924331585e-12 	
1 	 6.3410682753e-02 	  1.4411518808e-03 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.4471555959e-01 	5.5188294563e-02 	9.6145848875e-05 	
2 	 1.7870283321e-01 	  2.8823037615e-03 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.5191038586e-01 	1.4735299119e-01 	7.3662295103e-04 	
3 	 3.5164105891e-01 	  5.7646075230e-03 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.2951320597e-01 	2.6778164072e-01 	2.7051533121e-03 	
4 	 6.3987143506e-01 	  5.7646075230e-03 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.6333297379e-01 	4.2844418407e-01 	8.2228421386e-03 	
5 	 1.0779816068e+00 	  1.1529215046e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.8029223318e-01 	5.9908966564e-01 	2.0618101184e-02 	
6 	 1.6544423591e+00 	  1.1529215046e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.2676747074e-01 	7.3153325410e-01 	4.1699275157e-02 	
7 	 2.2309031114e+00 	  1.1529215046e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.3522097298e-01 	7.9895340970e-01 	6.5825617322e-02 	
8 	 2.8073638637e+00 	  1.1529215046e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.0631986031e-02 	8.2795698558e-01 	9.1411028393e-02 	
9 	 3.3838246160e+00 	  1.1529215046e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.8080686214e-02 	8.3439857892e-01 	1.1752073486e-01 	
10 	 3.9602853683e+00 	  1.1529215046e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.8670413574e-02 	8.2772157904e-01 	1.4360800739e-01 	
11 	 4.5367461206e+00 	  1.1529215046e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.7096108214e-02 	8.1354671477e-01 	1.6935717702e-01 	
12 	 5.1132068729e+00 	  1.1529215046e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0194373908e-02 	7.9521558982e-01 	1.9459003627e-01 	
13 	 5.6896676252e+00 	  1.1529215046e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.0788840401e-03 	7.7471107983e-01 	2.1921003613e-01 	
14 	 6.2661283775e+00 	  1.1529215046e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.6248259587e-03 	7.5320615364e-01 	2.4316902040e-01 	
15 	 6.8425891298e+00 	  1.1529215046e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.1614762091e-03 	7.3139112503e-01 	2.6644739876e-01 	
16 	 7.4190498821e+00 	  1.1529215046e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.2888837853e-03 	7.0966878332e-01 	2.8904233290e-01 	
17 	 7.9955106344e+00 	  1.1529215046e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.6855873080e-04 	6.8827074058e-01 	3.1096070069e-01 	
18 	 8.5719713868e+00 	  1.1529215046e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.5828997885e-04 	6.6732680084e-01 	3.3221490918e-01 	
19 	 9.1484321391e+00 	  1.1529215046e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.7327736489e-04 	6.4690631666e-01 	3.5282040598e-01 	
