## nSpec(22)    Omega(22)
0   -7.546471e+10
1   0.000000e+00
2   0.000000e+00
3   -5.069454e+07
4   6.761175e+07
5   0.000000e+00
6   0.000000e+00
7   0.000000e+00
8   -1.691721e+07
9   7.302009e-01
10   2.654576e-01
11   0.000000e+00
12   0.000000e+00
13   0.000000e+00
14   0.000000e+00
15   1.801713e+07
16   3.834393e+05
17   2.842852e+02
18   -2.843633e+02
19   1.224948e-05
20   7.805730e-02
21   2.220446e-16
