iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	AACD 	O1D 	OH 	HO2 	N2O5 	HONO 	PNA 	XO2 	XO2N 	ALDX 	MEO2 	HCO3 	FACD 	C2O3 	PACD 	CXO3 	PANX 	ROR 	CRES 	TO2 	TOLRO2 	OPEN 	CRO 	MGLY 	XYLRO2 	ISPD 	TERP 	SULF 	ETOH 	CL2 	CL 	CLO 	HOCL 	FMCL 	BENZENE 	BENZRO2 	SESQ 	NO3 	ALD2 	CH4 	CO 	ETH 	ETHA 	FORM 	H2 	H2O 	H2O2 	HCL 	HNO3 	IOLE 	ISOP 	MEOH 	MEPX 	NO 	NO2 	NTR 	O2 	O 	O3 	OLE 	PAN 	PAR 	ROOH 	SO2 	TOL 	XYL 	M 	
-1 	 0.0000000000e+00 	  1.0000000000e+01 	 0.0000000000e+00 	1.0132500000e+05 	2.9815000000e+02 	8.2000000000e-09 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	4.1000000000e-08 	9.0000000000e-05 	8.6000000000e-06 	8.2000000000e-09 	4.1000000000e-08 	4.9000000000e-08 	2.3000000000e-05 	3.1281864095e-03 	4.5000000000e-08 	2.9000000000e-08 	4.1000000000e-08 	1.3000000000e-11 	2.0000000000e-07 	4.9000000000e-09 	2.0000000000e-08 	4.1000000000e-09 	4.1000000000e-08 	4.1000000000e-09 	3.4938185872e-19 	0.0000000000e+00 	2.0000000000e-06 	9.4000000000e-10 	3.3000000000e-08 	8.2000000000e-08 	1.0000000000e-09 	3.3000000000e-08 	4.1000000000e-09 	4.1000000000e-09 	4.0625797526e-14 	
0 	 3.1180591621e+02 	  1.0000000000e+01 	 0.0000000000e+00 	1.0132500000e+05 	2.9815000000e+02 	8.2000038457e-09 	2.4550960067e-13 	2.5526765739e-09 	1.8665253957e-09 	9.5971575734e-18 	4.1885338198e-12 	8.8872081020e-15 	1.5353649677e-09 	1.8070291733e-11 	4.0795467217e-11 	5.1335366026e-11 	1.2933211991e-18 	1.4797615806e-16 	3.3098415515e-09 	1.9044625787e-13 	1.3049950112e-09 	5.8461089621e-13 	2.2248198545e-18 	1.2951254518e-12 	1.3913568272e-15 	3.3464667570e-13 	7.3563251130e-17 	9.9237721325e-17 	1.5388842369e-12 	1.4350004784e-12 	4.1148170450e-09 	1.6338043506e-35 	2.2767127540e-12 	-1.6166633993e-35 	2.6901731463e-41 	1.6808122226e-13 	1.0588579481e-14 	1.5807812256e-19 	3.6526038569e-14 	8.1772124709e-44 	1.4346973491e-36 	0.0000000000e+00 	1.3584935422e-12 	4.2352024874e-08 	8.9999994149e-05 	9.2116540183e-06 	2.2594505128e-08 	4.0999898208e-08 	5.4465441376e-08 	2.2999993462e-05 	3.1281850600e-03 	4.4962838904e-08 	2.8999784804e-08 	4.1000835272e-08 	4.6056037237e-09 	1.9643644943e-07 	5.0845421879e-09 	1.9987200018e-08 	8.3475290454e-08 	1.2181621896e-08 	4.0994114756e-09 	3.4938185872e-19 	1.8046597464e-07 	1.8469723185e-06 	5.5731724558e-09 	2.9694005018e-08 	2.1645784306e-07 	9.9941537926e-10 	3.6351199447e-07 	8.8701924306e-09 	8.4634953733e-09 	4.0625797526e-14 	
1 	 1.3118059162e+03 	  1.0000000000e+01 	 0.0000000000e+00 	1.0132500000e+05 	2.9815000000e+02 	8.2181596083e-09 	1.9018383080e-13 	1.0542198200e-08 	1.8247426956e-08 	4.2729363012e-18 	1.6219342610e-10 	3.5444005406e-14 	1.9652604608e-08 	2.5157004651e-10 	2.0840265121e-09 	9.9456545603e-10 	2.1600401512e-17 	1.3203734260e-15 	1.1375950046e-08 	4.8443713416e-11 	1.4739860386e-08 	9.0340695160e-12 	2.8027627561e-17 	4.8717055097e-11 	1.5356366964e-14 	1.2673409206e-11 	3.6185988229e-14 	5.5236328481e-14 	7.6454554385e-11 	5.2690736340e-11 	4.9011006559e-08 	-1.4173665880e-31 	1.3889361514e-10 	-1.2322613737e-32 	1.1367042382e-37 	1.2390980075e-12 	3.0480893289e-13 	2.2423285973e-16 	1.2367956985e-12 	1.8807613891e-38 	5.8863943945e-32 	0.0000000000e+00 	1.6517063901e-12 	5.0590845639e-08 	8.9999906276e-05 	1.1174519634e-05 	6.8394554187e-08 	4.0998348371e-08 	9.3045583135e-08 	2.2999956307e-05 	3.1281813895e-03 	4.4834169717e-08 	2.8997219073e-08 	4.1005021378e-08 	1.6776104525e-08 	1.4295843371e-07 	5.6757766058e-09 	1.9928988218e-08 	2.5066207582e-07 	4.9053632210e-09 	4.1023360773e-09 	3.4938185872e-19 	5.4868421997e-07 	1.4307540549e-06 	1.9890658560e-08 	2.1169593510e-08 	6.5818971347e-07 	1.0192611388e-09 	1.4233753776e-06 	2.4153767544e-08 	2.2398569012e-08 	4.0625797526e-14 	
2 	 2.3118059162e+03 	  1.0000000000e+01 	 0.0000000000e+00 	1.0132500000e+05 	2.9815000000e+02 	8.3290978553e-09 	1.4731819526e-13 	2.3503702839e-08 	3.2921000183e-08 	1.4708706111e-17 	8.0145318992e-10 	1.0025748062e-13 	4.5368029271e-08 	6.6251255022e-10 	8.5661053029e-09 	3.7955640739e-09 	5.7242775889e-17 	3.1535756653e-15 	1.5779076603e-08 	3.0909047771e-10 	2.6898457986e-08 	3.6746077555e-11 	1.0482673802e-16 	2.7554940369e-10 	5.5377534553e-14 	7.0675785663e-11 	6.6224506640e-13 	1.0935743071e-12 	4.8954146257e-10 	2.9041466296e-10 	1.0029940615e-07 	-7.1943948766e-32 	8.7907688034e-10 	-1.2302208541e-32 	2.0596829230e-36 	2.9462543620e-12 	9.5094540759e-13 	2.5186105654e-15 	4.2940908398e-12 	1.8798048469e-38 	5.4202032984e-32 	0.0000000000e+00 	3.6423713417e-12 	6.9318479588e-08 	8.9999669817e-05 	1.3140329200e-05 	1.1316778826e-07 	4.0994164455e-08 	1.3667246033e-07 	2.2999882199e-05 	3.1281785463e-03 	4.4685700223e-08 	2.8991806191e-08 	4.1026441099e-08 	2.3275336951e-08 	8.0087684575e-08 	6.2655003148e-09 	1.9839779106e-08 	4.0482678672e-07 	7.6438401346e-09 	4.1332569890e-09 	3.4938185872e-19 	7.7622138756e-07 	1.1082746127e-06 	3.2699514648e-08 	1.5105037796e-08 	1.1036304263e-06 	1.1862658700e-09 	2.4826351943e-06 	3.9373824483e-08 	3.6086714966e-08 	4.0625797526e-14 	
3 	 3.3118059162e+03 	  1.0000000000e+01 	 0.0000000000e+00 	1.0132500000e+05 	2.9815000000e+02 	8.5582793404e-09 	1.1411111761e-13 	3.6458443974e-08 	4.2441854485e-08 	3.7559609293e-17 	2.1626420640e-09 	1.8978855416e-13 	6.9820428368e-08 	1.0800469819e-09 	1.9052211979e-08 	8.4266876873e-09 	9.2157299945e-17 	5.2718038932e-15 	1.7628416254e-08 	7.9458439543e-10 	3.0199357783e-08 	8.7322462911e-11 	2.2785641857e-16 	8.5392634296e-10 	1.1781007226e-13 	2.1391274530e-10 	4.3216694645e-12 	7.7829067588e-12 	1.5502480667e-09 	8.7036077448e-10 	1.3336452509e-07 	-3.2844696548e-32 	2.8932600328e-09 	-1.2270381675e-32 	1.1240362188e-35 	4.5870014462e-12 	1.7412666036e-12 	9.7398693893e-15 	9.0659545775e-12 	1.8780754087e-38 	4.8038765764e-32 	0.0000000000e+00 	6.3159360881e-12 	9.8012119601e-08 	8.9999243150e-05 	1.5109289459e-05 	1.5645900152e-07 	4.0986608692e-08 	1.7067424300e-07 	2.2999759251e-05 	3.1281763440e-03 	4.4512355547e-08 	2.8984596038e-08 	4.1092724621e-08 	2.5160152981e-08 	3.8937895038e-08 	6.8530016276e-09 	1.9723509693e-08 	5.5557838803e-07 	1.1186731126e-08 	4.2236638288e-09 	3.4938185872e-19 	9.1984320172e-07 	8.5845718589e-07 	4.3520570021e-08 	1.0799326730e-08 	1.5464599938e-06 	1.6130045754e-09 	3.5406210111e-06 	5.4464825159e-08 	4.9280816245e-08 	4.0625797526e-14 	
4 	 4.3118059162e+03 	  1.0000000000e+01 	 0.0000000000e+00 	1.0132500000e+05 	2.9815000000e+02 	8.8623217941e-09 	8.8387463226e-14 	4.5955182876e-08 	4.9374962357e-08 	7.1460322522e-17 	4.0934956084e-09 	2.9181321707e-13 	8.9930200526e-08 	1.4032958244e-09 	3.1872366264e-08 	1.4214907615e-08 	1.2327534556e-16 	7.4357913681e-15 	1.8119589846e-08 	1.3902100014e-09 	2.7101023107e-08 	1.4469543533e-10 	3.6876028272e-16 	1.8600958219e-09 	1.8729926934e-13 	4.5023032228e-10 	1.5124082813e-11 	3.0062732991e-11 	3.2920592314e-09 	1.8125374777e-09 	1.4854723947e-07 	-1.8068446249e-32 	6.6047482927e-09 	-1.2233582587e-32 	3.1891672723e-35 	5.3693217209e-12 	2.2917515121e-12 	2.2897210295e-14 	1.4928656233e-11 	1.8757018258e-38 	4.1062047927e-32 	0.0000000000e+00 	9.0673410322e-12 	1.3188049210e-07 	8.9998656819e-05 	1.7080897292e-05 	1.9808955709e-07 	4.0976238865e-08 	1.9624644280e-07 	2.2999595136e-05 	3.1281746381e-03 	4.4318554191e-08 	2.8977387373e-08 	4.1222872114e-08 	2.4747533068e-08 	1.8800795242e-08 	7.4382793531e-09 	1.9603745161e-08 	7.0432693878e-07 	1.4759551065e-08 	4.3931798279e-09 	3.4938185872e-19 	1.0014840184e-06 	6.6493792399e-07 	5.2367345215e-08 	7.7472125312e-09 	1.9866621561e-06 	2.3254105956e-09 	4.5969095229e-06 	6.9388340076e-08 	6.1848930434e-08 	4.0625797526e-14 	
5 	 5.3118059162e+03 	  1.0000000000e+01 	 0.0000000000e+00 	1.0132500000e+05 	2.9815000000e+02 	9.1909284889e-09 	6.8461195605e-14 	5.2184424667e-08 	5.5121986526e-08 	1.1180285358e-16 	6.3041270957e-09 	4.0095472868e-13 	1.0525913022e-07 	1.6540780287e-09 	4.5564968278e-08 	2.0412655033e-08 	1.5321670450e-16 	9.5040803523e-15 	1.8014620497e-08 	2.0028923924e-09 	2.1901508881e-08 	1.9110187936e-10 	5.1080545622e-16 	3.2768487565e-09 	2.5510048915e-13 	7.5706768544e-10 	3.6338666162e-11 	8.0174087415e-11 	5.5547594358e-09 	3.0125441114e-09 	1.5339007828e-07 	-5.5662966804e-33 	1.2140152408e-08 	-1.2190026288e-32 	5.9883066784e-35 	5.4488310401e-12 	2.4235430117e-12 	4.0302470133e-14 	2.1415971228e-11 	1.8728868865e-38 	3.3883688810e-32 	0.0000000000e+00 	1.1504847885e-11 	1.6646505975e-07 	8.9997960655e-05 	1.9054535845e-05 	2.3811577497e-07 	4.0963960521e-08 	2.1848092772e-07 	2.2999402834e-05 	3.1281733168e-03 	4.4111155091e-08 	2.8970671352e-08 	4.1421892571e-08 	2.3760255435e-08 	1.0495285075e-08 	8.0216559722e-09 	1.9505461081e-08 	8.5194361435e-07 	1.8147601524e-08 	4.6507223258e-09 	3.4938185872e-19 	1.0341834676e-06 	5.1503259641e-07 	5.9569672121e-08 	5.5863388914e-09 	2.4252682581e-06 	3.3080984491e-09 	5.6513741188e-06 	8.4135583655e-08 	7.3779148439e-08 	4.0625797526e-14 	
6 	 6.3118059162e+03 	  1.0000000000e+01 	 0.0000000000e+00 	1.0132500000e+05 	2.9815000000e+02 	9.5153082474e-09 	5.3026339774e-14 	5.6123989962e-08 	6.0256839569e-08 	1.5427063708e-16 	8.5848657151e-09 	5.1578474192e-13 	1.1601234057e-07 	1.8687407578e-09 	5.9317435455e-08 	2.6422649402e-08 	1.8461700393e-16 	1.1402027567e-14 	1.7685741638e-08 	2.5924953127e-09 	1.7184020750e-08 	2.1969130649e-10 	6.4801061118e-16 	5.0507707813e-09 	3.1830404218e-13 	1.0999374355e-09 	6.9104594019e-11 	1.6933757204e-10 	8.1617586869e-09 	4.3224351482e-09 	1.5351567257e-07 	-2.0388115878e-33 	1.9483006145e-08 	-1.2132808222e-32 	8.6633427125e-35 	5.1941737060e-12 	2.2073126631e-12 	5.9049191012e-14 	2.8244027026e-11 	1.8697917160e-38 	2.7006248251e-32 	0.0000000000e+00 	1.3473113988e-11 	1.9945392071e-07 	8.9997193954e-05 	2.1029765822e-05 	2.7671435898e-07 	4.0950479434e-08 	2.4082281541e-07 	2.2999192594e-05 	3.1281722933e-03 	4.3895528247e-08 	2.8964295437e-08 	4.1687227211e-08 	2.3005787105e-08 	7.4025969397e-09 	8.6034522949e-09 	1.9446138623e-08 	9.9890632735e-07 	2.1342818464e-08 	5.0039889295e-09 	3.4938185872e-19 	1.0304857429e-06 	3.9891625291e-07 	6.5548155211e-08 	4.0583964764e-09 	2.8628258525e-06 	4.5294945634e-09 	6.7040312650e-06 	9.8711190216e-08 	8.5111204645e-08 	4.0625797526e-14 	
7 	 7.3118059162e+03 	  1.0000000000e+01 	 0.0000000000e+00 	1.0132500000e+05 	2.9815000000e+02 	9.8264397571e-09 	4.1071376040e-14 	5.8578140789e-08 	6.5127147543e-08 	1.9576233157e-16 	1.0827509921e-08 	6.3674345754e-13 	1.2264646103e-07 	2.0609206888e-09 	7.2799120324e-08 	3.1824128166e-08 	2.1936331113e-16 	1.3098397671e-14 	1.7284641467e-08 	3.1545759237e-09 	1.3780835591e-08 	2.3296318325e-10 	7.7901326691e-16 	7.1235456188e-09 	3.7649370650e-13 	1.4449620747e-09 	1.1283217968e-10 	3.0635468256e-10 	1.0977708407e-08 	5.6034569971e-09 	1.5172042800e-07 	-2.6340974875e-33 	2.8568288694e-08 	-1.2075284614e-32 	1.0654312088e-34 	4.8237615845e-12 	1.8035469597e-12 	7.6583163498e-14 	3.5218420766e-11 	1.8665200798e-38 	2.0795875672e-32 	0.0000000000e+00 	1.4954927985e-11 	2.3027990716e-07 	8.9996383066e-05 	2.3006329451e-05 	3.1409809639e-07 	4.0936261412e-08 	2.6474895239e-07 	2.2998971264e-05 	3.1281715006e-03 	4.3675260680e-08 	2.8958077688e-08 	4.2013957013e-08 	2.2711289977e-08 	6.3581857045e-09 	9.1839137757e-09 	1.9435488113e-08 	1.1454776228e-06 	2.4368262983e-08 	5.4615997592e-09 	3.4938185872e-19 	1.0024348759e-06 	3.0897917526e-07 	7.0682859489e-08 	2.9797969803e-09 	3.2994580626e-06 	5.9513444585e-09 	7.7549459825e-06 	1.1312386655e-07 	9.5897887202e-08 	4.0625797526e-14 	
8 	 8.3118059162e+03 	  1.0000000000e+01 	 0.0000000000e+00 	1.0132500000e+05 	2.9815000000e+02 	1.0125361718e-08 	3.1812666208e-14 	6.0105781554e-08 	6.9969767268e-08 	2.3425309585e-16 	1.2991961752e-08 	7.6472784178e-13 	1.2584899876e-07 	2.2299470164e-09 	8.5923375673e-08 	3.6356587725e-08 	2.5874024430e-16 	1.4588841803e-14 	1.6869871699e-08 	3.6997433499e-09 	1.1608127769e-08 	2.3686370125e-10 	9.0439980501e-16 	9.4435048133e-09 	4.3024431642e-13 	1.7653181206e-09 	1.6607788734e-10 	4.9753685198e-10 	1.3908829039e-08 	6.7512154584e-09 	1.4919038494e-07 	-2.0560203803e-33 	3.9324321435e-08 	-1.2015604594e-32 	1.1881100118e-34 	4.4370288164e-12 	1.3554981732e-12 	9.1378891246e-14 	4.2211546763e-11 	1.8631460055e-38 	1.5473269827e-32 	0.0000000000e+00 	1.5997981428e-11 	2.5923251437e-07 	8.9995544739e-05 	2.4984083919e-05 	3.5046808200e-07 	4.0921598274e-08 	2.9066043152e-07 	2.2998743166e-05 	3.1281708866e-03 	4.3452621305e-08 	2.8951904547e-08 	4.2396890346e-08 	2.2856533203e-08 	6.0986024235e-09 	9.7632134243e-09 	1.9477318094e-08 	1.2918102580e-06 	2.7233372215e-08 	6.0311157974e-09 	3.4938185872e-19 	9.6009427400e-07 	2.3932602374e-07 	7.5265497216e-08 	2.2200796688e-09 	3.7351242381e-06 	7.5356586134e-09 	8.8041899497e-06 	1.2738245235e-07 	1.0618948960e-07 	4.0625797526e-14 	
