iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	A 	B 	C 	
-1 	 0.0000000000e+00 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	
0 	 1.0230000000e-17 	  1.0240000000e-17 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0000000000e+00 	1.1224240785e-17 	2.3753745870e-36 	
1 	 1.0485750000e-14 	  1.0485760000e-14 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0000000000e+00 	1.1504846805e-14 	1.5544406096e-30 	
2 	 1.0737418230e-11 	  1.0737418240e-11 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.9999999999e-01 	1.1780974352e-11 	1.6299512831e-24 	
3 	 1.0995116278e-08 	  1.0995116278e-08 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.9999998794e-01 	1.2063717674e-08 	1.7091277926e-18 	
4 	 1.1258999068e-05 	  1.1258999068e-05 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.9998764683e-01 	1.2353168881e-05 	1.7921425771e-12 	
5 	 5.7646075230e-03 	  1.4411518808e-03 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.9369509689e-01 	6.3044343336e-03 	4.6877732883e-07 	
6 	 3.0264189496e-02 	  2.8823037615e-03 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.6733971427e-01 	3.2647482536e-02 	1.2803190893e-05 	
7 	 8.2145657203e-02 	  5.7646075230e-03 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.1381294455e-01 	8.6094526904e-02 	9.2528544172e-05 	
8 	 1.8014398509e-01 	  1.1529215046e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.2065485780e-01 	1.7891583141e-01 	4.2931078933e-04 	
9 	 3.3002378069e-01 	  2.3058430092e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.9621161735e-01 	3.0242279935e-01 	1.3655833022e-03 	
10 	 5.6060808162e-01 	  2.3058430092e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.4058538572e-01 	4.5577648353e-01 	3.6381307544e-03 	
11 	 8.8342610290e-01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.7934091328e-01 	6.1253705896e-01 	8.1220277531e-03 	
12 	 1.3445947047e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.2869601387e-01 	7.5497931830e-01 	1.6324667831e-02 	
13 	 1.8057633066e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.3787562830e-01 	8.3629783617e-01 	2.5826535537e-02 	
14 	 2.2669319084e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.3122082266e-02 	8.8082007335e-01 	3.6057844386e-02 	
15 	 2.7281005103e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.0112413960e-02 	9.0321186698e-01 	4.6675719061e-02 	
16 	 3.1892691121e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.0211635277e-02 	9.1231428841e-01 	5.7474076317e-02 	
17 	 3.6504377140e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.8213908171e-02 	9.1345679752e-01 	6.8329294312e-02 	
18 	 4.1116063158e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0980751218e-02 	9.0985179081e-01 	7.9167457976e-02 	
19 	 4.5727749176e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.6200453074e-03 	9.0343534262e-01 	8.9944612068e-02 	
20 	 5.0339435195e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.9910748364e-03 	8.9537406888e-01 	1.0063485628e-01 	
21 	 5.4951121213e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.4061282982e-03 	8.8637070355e-01 	1.1122316815e-01 	
22 	 5.9562807232e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.4506000576e-03 	8.7684832375e-01 	1.2170107619e-01 	
23 	 6.4174493250e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.7453380129e-04 	8.6706141474e-01 	1.3206405146e-01 	
24 	 6.8786179269e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.2723654987e-04 	8.5716282839e-01 	1.4230993506e-01 	
25 	 7.3397865287e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.1785893137e-04 	8.4724415090e-01 	1.5243799017e-01 	
26 	 7.8009551305e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.9162992451e-04 	8.3736003945e-01 	1.6244833063e-01 	
27 	 8.2621237324e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.1552932557e-04 	8.2754289412e-01 	1.7234157655e-01 	
28 	 8.7232923342e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.9650004301e-05 	8.1781170325e-01 	1.8211864675e-01 	
29 	 9.1844609361e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.1990404387e-05 	8.0817737594e-01 	1.9178063366e-01 	
30 	 9.6456295379e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.5315060326e-05 	7.9864595690e-01 	2.0132872804e-01 	
31 	 1.0106798140e+01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.5261874437e-05 	7.8922056447e-01 	2.1076417365e-01 	
32 	 1.0567966742e+01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.2010371822e-06 	7.7990255898e-01 	2.2008823998e-01 	
33 	 1.1029135343e+01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.5470961695e-06 	7.7069224702e-01 	2.2930220589e-01 	
34 	 1.1490303945e+01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.3442181902e-06 	7.6158930597e-01 	2.3840734981e-01 	
35 	 1.1951472547e+01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.0161531298e-06 	7.5259303989e-01 	2.4740494395e-01 	
36 	 1.2412641149e+01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.2154928930e-06 	7.4370253369e-01 	2.5629625082e-01 	
37 	 1.2873809751e+01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.3279303599e-07 	7.3491674598e-01 	2.6508252123e-01 	
38 	 1.3381095213e+01 	  9.2233720369e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.1997101848e-07 	7.2537200103e-01 	2.7462757899e-01 	
39 	 1.4303432417e+01 	  9.2233720369e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.5259454770e-07 	7.0833409363e-01 	2.9166575377e-01 	
40 	 1.5225769620e+01 	  9.2233720369e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.5444530606e-08 	6.9169621959e-01 	3.0830372497e-01 	
41 	 1.6202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.8977471284e-08 	6.7450345601e-01 	3.2549652501e-01 	
42 	 1.7202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3314153521e-09 	6.5734320901e-01 	3.4265678466e-01 	
43 	 1.8202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.1123372952e-09 	6.4061953308e-01 	3.5938046481e-01 	
44 	 1.9202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.0473481844e-10 	6.2432132680e-01 	3.7567867250e-01 	
45 	 2.0202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.3511925176e-10 	6.0843776750e-01 	3.9156223227e-01 	
46 	 2.1202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.8442360309e-11 	5.9295830664e-01 	4.0704169328e-01 	
47 	 2.2202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.6170565977e-11 	5.7787266362e-01 	4.2212733636e-01 	
48 	 2.3202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.7312329828e-12 	5.6317081926e-01 	4.3682918073e-01 	
49 	 2.4202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.9129835964e-12 	5.4884300925e-01 	4.5115699075e-01 	
50 	 2.5202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.7185282415e-13 	5.3487971765e-01 	4.6512028235e-01 	
51 	 2.6202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.2423729162e-13 	5.2127167065e-01 	4.7872832935e-01 	
52 	 2.7202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0817463166e-13 	5.0800983035e-01 	4.9199016965e-01 	
53 	 2.8202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.6090083517e-14 	4.9508538880e-01 	5.0491461120e-01 	
54 	 2.9202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.2040661552e-14 	4.8248976212e-01 	5.1751023788e-01 	
55 	 3.0202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.0171015547e-15 	4.7021458484e-01 	5.2978541516e-01 	
56 	 3.1202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.3402174649e-15 	4.5825170429e-01 	5.4174829571e-01 	
57 	 3.2202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.4713404150e-16 	4.4659317523e-01 	5.5340682477e-01 	
58 	 3.3202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.4917642569e-16 	4.3523125456e-01 	5.6476874544e-01 	
59 	 3.4202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.9769429113e-17 	4.2415839617e-01 	5.7584160383e-01 	
60 	 3.5202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.6604473949e-17 	4.1336724594e-01 	5.8663275406e-01 	
61 	 3.6202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.5397170521e-18 	4.0285063683e-01 	5.9714936317e-01 	
62 	 3.7202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.8482045930e-18 	3.9260158415e-01 	6.0739841585e-01 	
63 	 3.8202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.1661275935e-19 	3.8261328093e-01 	6.1738671907e-01 	
64 	 3.9202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.0571926747e-19 	3.7287909333e-01 	6.2712090667e-01 	
65 	 4.0202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.8633703025e-20 	3.6339255634e-01 	6.3660744366e-01 	
66 	 4.1202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.2898123491e-20 	3.5414736939e-01 	6.4585263061e-01 	
67 	 4.2202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.6394546165e-21 	3.4513739221e-01 	6.5486260779e-01 	
68 	 4.3202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.5487357888e-21 	3.3635664077e-01 	6.6364335923e-01 	
69 	 4.4202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.5032956500e-22 	3.2779928324e-01 	6.7220071676e-01 	
70 	 4.5202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.8369373257e-22 	3.1945963620e-01 	6.8054036380e-01 	
71 	 4.6202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.4648165912e-23 	3.1133216081e-01 	6.8866783919e-01 	
72 	 4.7202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.1577276103e-23 	3.0341145913e-01 	6.9658854087e-01 	
73 	 4.8202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0535062764e-23 	2.9569227057e-01 	7.0430772943e-01 	
74 	 4.9202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.5147916431e-24 	2.8816946837e-01 	7.1183053163e-01 	
75 	 5.0202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.1726326915e-24 	2.8083805620e-01 	7.1916194380e-01 	
76 	 5.1202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.9122310718e-25 	2.7369316485e-01 	7.2630683515e-01 	
77 	 5.2202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.3052289348e-25 	2.6673004898e-01 	7.3326995102e-01 	
78 	 5.3202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.3546084644e-26 	2.5994408398e-01 	7.4005591602e-01 	
79 	 5.4202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.4528219012e-26 	2.5333076290e-01 	7.4666923710e-01 	
80 	 5.5202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.8470402282e-27 	2.4688569345e-01 	7.5311430655e-01 	
81 	 5.6202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.6171096056e-27 	2.4060459508e-01 	7.5939540492e-01 	
82 	 5.7202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.3956506655e-28 	2.3448329616e-01 	7.6551670384e-01 	
83 	 5.8202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.8003080341e-28 	2.2851773118e-01 	7.7148226882e-01 	
84 	 5.9202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.0099101323e-29 	2.2270393805e-01 	7.7729606195e-01 	
85 	 6.0202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.0092327339e-29 	2.1703805550e-01 	7.8296194450e-01 	
86 	 6.1202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.7097277730e-30 	2.1151632050e-01 	7.8848367950e-01 	
87 	 6.2202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.2143800833e-30 	2.0613506573e-01 	7.9386493427e-01 	
88 	 6.3202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.5472680622e-31 	2.0089071720e-01 	7.9910928280e-01 	
89 	 6.4202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.8905801053e-31 	1.9577979182e-01 	8.0422020818e-01 	
90 	 6.5202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.9235225320e-32 	1.9079889514e-01 	8.0920110486e-01 	
91 	 6.6202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-3.4341738321e-32 	1.8594471906e-01 	8.1405528094e-01 	
92 	 6.7202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-3.1079694478e-32 	1.8121403963e-01 	8.1878596037e-01 	
93 	 6.8202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-2.7263945775e-33 	1.7660371494e-01 	8.2339628506e-01 	
94 	 6.9202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-2.3785234813e-32 	1.7211068300e-01 	8.2788931700e-01 	
95 	 7.0202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-6.9213107376e-34 	1.6773195974e-01 	8.3226804026e-01 	
96 	 7.1202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.3655625778e-32 	1.6346463698e-01 	8.3653536302e-01 	
97 	 7.2202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.6229300130e-32 	1.5930588055e-01 	8.4069411945e-01 	
98 	 7.3202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-1.4812357295e-32 	1.5525292839e-01 	8.4474707161e-01 	
99 	 7.4202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.1058840236e-32 	1.5130308868e-01 	8.4869691132e-01 	
100 	 7.5202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.1534304191e-32 	1.4745373812e-01 	8.5254626188e-01 	
101 	 7.6202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-2.1257545801e-32 	1.4370232012e-01 	8.5629767988e-01 	
102 	 7.7202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-2.8319821821e-32 	1.4004634316e-01 	8.5995365684e-01 	
103 	 7.8202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.0296442970e-33 	1.3648337908e-01 	8.6351662092e-01 	
104 	 7.9202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.7573057658e-33 	1.3301106152e-01 	8.6698893848e-01 	
105 	 8.0202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.7476971778e-33 	1.2962708430e-01 	8.7037291570e-01 	
106 	 8.1202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.4805586447e-33 	1.2632919994e-01 	8.7367080006e-01 	
107 	 8.2202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-2.5464404983e-32 	1.2311521812e-01 	8.7688478188e-01 	
108 	 8.3202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-2.7992188035e-32 	1.1998300424e-01 	8.8001699576e-01 	
109 	 8.4202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-1.2144902004e-32 	1.1693047802e-01 	8.8306952198e-01 	
110 	 8.5202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-8.0573084783e-33 	1.1395561211e-01 	8.8604438789e-01 	
111 	 8.6202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.9606689311e-34 	1.1105643071e-01 	8.8894356929e-01 	
112 	 8.7202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-1.1531505542e-32 	1.0823100833e-01 	8.9176899167e-01 	
113 	 8.8202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0273632547e-32 	1.0547746842e-01 	8.9452253158e-01 	
114 	 8.9202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-1.6653275488e-32 	1.0279398221e-01 	8.9720601779e-01 	
115 	 9.0202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-1.7080591194e-32 	1.0017876743e-01 	8.9982123257e-01 	
116 	 9.1202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-9.3196953715e-33 	9.7630087174e-02 	9.0236991283e-01 	
117 	 9.2202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-5.6905211326e-33 	9.5146248712e-02 	9.0485375129e-01 	
118 	 9.3202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-9.0578892697e-33 	9.2725602384e-02 	9.0727439762e-01 	
119 	 9.4202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-2.0854210179e-33 	9.0366540498e-02 	9.0963345950e-01 	
120 	 9.5202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-8.8893703996e-33 	8.8067496265e-02 	9.1193250374e-01 	
121 	 9.6202470781e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	-7.0168549185e-33 	8.5826942755e-02 	9.1417305724e-01 	
