iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	A 	B 	C 	
-1 	 0.0000000000e+00 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	
0 	 1.0230000000e-17 	  1.0240000000e-17 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0000000000e+00 	9.7594200000e-18 	6.1400902959e-36 	
1 	 1.0485750000e-14 	  1.0485760000e-14 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.0000000000e+00 	1.0003405500e-14 	6.4509323671e-30 	
2 	 1.0737418230e-11 	  1.0737418240e-11 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.9999999999e-01 	1.0243496991e-11 	6.7643057471e-24 	
3 	 1.0995116278e-08 	  1.0995116278e-08 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.9999998951e-01 	1.0489340867e-08 	7.0928886473e-18 	
4 	 1.1258999068e-05 	  1.1258999068e-05 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.9998925897e-01 	1.0741019989e-05 	7.4374017327e-12 	
5 	 5.7646075230e-03 	  1.4411518808e-03 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.9451565831e-01 	5.4823960909e-03 	1.9456013532e-06 	
6 	 2.8823037615e-02 	  2.8823037615e-03 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.7287742248e-01 	2.7074337236e-02 	4.8240282185e-05 	
7 	 8.0704505322e-02 	  5.7646075230e-03 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.2589711317e-01 	7.3731616786e-02 	3.7127003983e-04 	
8 	 1.7870283321e-01 	  1.1529215046e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.4325745740e-01 	1.5498413408e-01 	1.7584085212e-03 	
9 	 3.2858262881e-01 	  2.3058430092e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.3090633690e-01 	2.6345073452e-01 	5.6429285860e-03 	
10 	 5.5916692973e-01 	  2.3058430092e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.8657678770e-01 	3.9831226338e-01 	1.5110948927e-02 	
11 	 9.0504338112e-01 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.2171005433e-01 	5.4294425700e-01 	3.5345688672e-02 	
12 	 1.3662119830e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	2.7159950562e-01 	6.5863535785e-01 	6.9765136534e-02 	
13 	 1.8273805848e+00 	  4.6116860184e-02 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	1.7492182293e-01 	7.1610805864e-01 	1.0897011843e-01 	
