iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	A 	B 	
37 	 3.1784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.1322381938e+01 	4.9094894952e+00 	
38 	 3.2784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.2276381938e+01 	5.0324894952e+00 	
39 	 3.3784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.3230381938e+01 	5.1554894952e+00 	
40 	 3.4784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.4184381938e+01 	5.2784894952e+00 	
41 	 3.5784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.5138381938e+01 	5.4014894952e+00 	
42 	 3.6784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.6092381938e+01 	5.5244894952e+00 	
43 	 3.7784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.7046381938e+01 	5.6474894952e+00 	
44 	 3.8784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.8000381938e+01 	5.7704894952e+00 	
45 	 3.9784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.8954381938e+01 	5.8934894952e+00 	
46 	 4.0784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	3.9908381938e+01 	6.0164894952e+00 	
47 	 4.1784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.0862381938e+01 	6.1394894952e+00 	
48 	 4.2784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.1816381938e+01 	6.2624894952e+00 	
49 	 4.3784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.2770381938e+01 	6.3854894952e+00 	
50 	 4.4784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.3724381938e+01 	6.5084894952e+00 	
51 	 4.5784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.4678381938e+01 	6.6314894952e+00 	
52 	 4.6784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.5632381938e+01 	6.7544894952e+00 	
53 	 4.7784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.6586381938e+01 	6.8774894952e+00 	
54 	 4.8784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.7540381938e+01 	7.0004894952e+00 	
55 	 4.9784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.8494381938e+01 	7.1234894952e+00 	
56 	 5.0784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	4.9448381938e+01 	7.2464894952e+00 	
57 	 5.1784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.0402381938e+01 	7.3694894952e+00 	
58 	 5.2784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.1356381938e+01 	7.4924894952e+00 	
59 	 5.3784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.2310381938e+01 	7.6154894952e+00 	
60 	 5.4784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.3264381938e+01 	7.7384894952e+00 	
