T P H2 O2
9.000000000000000000e+02 1.013250000000000000e+05 2.743121354982623883e-01 7.256878645017376117e-01
9.000000000000000000e+02 1.013250000000000000e+05 2.553998334825433592e-01 7.446001665174565298e-01
9.000000000000000000e+02 1.013250000000000000e+05 2.354753992242333005e-01 7.645246007757666717e-01
9.000000000000000000e+02 1.013250000000000000e+05 2.144553491950565716e-01 7.855446508049434007e-01
9.000000000000000000e+02 1.013250000000000000e+05 1.922467590210067412e-01 8.077532409789932588e-01
9.000000000000000000e+02 1.013250000000000000e+05 1.687458901169012204e-01 8.312541098830987796e-01
9.000000000000000000e+02 1.013250000000000000e+05 1.438365693957185942e-01 8.561634306042813503e-01
9.000000000000000000e+02 1.013250000000000000e+05 1.173882686572268880e-01 8.826117313427730426e-01
9.000000000000000000e+02 1.013250000000000000e+05 8.925381664397938342e-02 9.107461833560206443e-01
9.000000000000000000e+02 1.013250000000000000e+05 5.926665910131902193e-02 9.407333408986811030e-01
9.111111111111110858e+02 1.013250000000000000e+05 2.743121354982623883e-01 7.256878645017376117e-01
9.111111111111110858e+02 1.013250000000000000e+05 2.553998334825433592e-01 7.446001665174565298e-01
9.111111111111110858e+02 1.013250000000000000e+05 2.354753992242333005e-01 7.645246007757666717e-01
9.111111111111110858e+02 1.013250000000000000e+05 2.144553491950565716e-01 7.855446508049434007e-01
9.111111111111110858e+02 1.013250000000000000e+05 1.922467590210067412e-01 8.077532409789932588e-01
9.111111111111110858e+02 1.013250000000000000e+05 1.687458901169012204e-01 8.312541098830987796e-01
9.111111111111110858e+02 1.013250000000000000e+05 1.438365693957185942e-01 8.561634306042813503e-01
9.111111111111110858e+02 1.013250000000000000e+05 1.173882686572268880e-01 8.826117313427730426e-01
9.111111111111110858e+02 1.013250000000000000e+05 8.925381664397938342e-02 9.107461833560206443e-01
9.111111111111110858e+02 1.013250000000000000e+05 5.926665910131902193e-02 9.407333408986811030e-01
9.222222222222221717e+02 1.013250000000000000e+05 2.743121354982623883e-01 7.256878645017376117e-01
9.222222222222221717e+02 1.013250000000000000e+05 2.553998334825433592e-01 7.446001665174565298e-01
9.222222222222221717e+02 1.013250000000000000e+05 2.354753992242333005e-01 7.645246007757666717e-01
9.222222222222221717e+02 1.013250000000000000e+05 2.144553491950565716e-01 7.855446508049434007e-01
9.222222222222221717e+02 1.013250000000000000e+05 1.922467590210067412e-01 8.077532409789932588e-01
9.222222222222221717e+02 1.013250000000000000e+05 1.687458901169012204e-01 8.312541098830987796e-01
9.222222222222221717e+02 1.013250000000000000e+05 1.438365693957185942e-01 8.561634306042813503e-01
9.222222222222221717e+02 1.013250000000000000e+05 1.173882686572268880e-01 8.826117313427730426e-01
9.222222222222221717e+02 1.013250000000000000e+05 8.925381664397938342e-02 9.107461833560206443e-01
9.222222222222221717e+02 1.013250000000000000e+05 5.926665910131902193e-02 9.407333408986811030e-01
9.333333333333333712e+02 1.013250000000000000e+05 2.743121354982623883e-01 7.256878645017376117e-01
9.333333333333333712e+02 1.013250000000000000e+05 2.553998334825433592e-01 7.446001665174565298e-01
9.333333333333333712e+02 1.013250000000000000e+05 2.354753992242333005e-01 7.645246007757666717e-01
9.333333333333333712e+02 1.013250000000000000e+05 2.144553491950565716e-01 7.855446508049434007e-01
9.333333333333333712e+02 1.013250000000000000e+05 1.922467590210067412e-01 8.077532409789932588e-01
9.333333333333333712e+02 1.013250000000000000e+05 1.687458901169012204e-01 8.312541098830987796e-01
9.333333333333333712e+02 1.013250000000000000e+05 1.438365693957185942e-01 8.561634306042813503e-01
9.333333333333333712e+02 1.013250000000000000e+05 1.173882686572268880e-01 8.826117313427730426e-01
9.333333333333333712e+02 1.013250000000000000e+05 8.925381664397938342e-02 9.107461833560206443e-01
9.333333333333333712e+02 1.013250000000000000e+05 5.926665910131902193e-02 9.407333408986811030e-01
9.444444444444444571e+02 1.013250000000000000e+05 2.743121354982623883e-01 7.256878645017376117e-01
9.444444444444444571e+02 1.013250000000000000e+05 2.553998334825433592e-01 7.446001665174565298e-01
9.444444444444444571e+02 1.013250000000000000e+05 2.354753992242333005e-01 7.645246007757666717e-01
9.444444444444444571e+02 1.013250000000000000e+05 2.144553491950565716e-01 7.855446508049434007e-01
9.444444444444444571e+02 1.013250000000000000e+05 1.922467590210067412e-01 8.077532409789932588e-01
9.444444444444444571e+02 1.013250000000000000e+05 1.687458901169012204e-01 8.312541098830987796e-01
9.444444444444444571e+02 1.013250000000000000e+05 1.438365693957185942e-01 8.561634306042813503e-01
9.444444444444444571e+02 1.013250000000000000e+05 1.173882686572268880e-01 8.826117313427730426e-01
9.444444444444444571e+02 1.013250000000000000e+05 8.925381664397938342e-02 9.107461833560206443e-01
9.444444444444444571e+02 1.013250000000000000e+05 5.926665910131902193e-02 9.407333408986811030e-01
9.555555555555555429e+02 1.013250000000000000e+05 2.743121354982623883e-01 7.256878645017376117e-01
9.555555555555555429e+02 1.013250000000000000e+05 2.553998334825433592e-01 7.446001665174565298e-01
9.555555555555555429e+02 1.013250000000000000e+05 2.354753992242333005e-01 7.645246007757666717e-01
9.555555555555555429e+02 1.013250000000000000e+05 2.144553491950565716e-01 7.855446508049434007e-01
9.555555555555555429e+02 1.013250000000000000e+05 1.922467590210067412e-01 8.077532409789932588e-01
9.555555555555555429e+02 1.013250000000000000e+05 1.687458901169012204e-01 8.312541098830987796e-01
9.555555555555555429e+02 1.013250000000000000e+05 1.438365693957185942e-01 8.561634306042813503e-01
9.555555555555555429e+02 1.013250000000000000e+05 1.173882686572268880e-01 8.826117313427730426e-01
9.555555555555555429e+02 1.013250000000000000e+05 8.925381664397938342e-02 9.107461833560206443e-01
9.555555555555555429e+02 1.013250000000000000e+05 5.926665910131902193e-02 9.407333408986811030e-01
9.666666666666666288e+02 1.013250000000000000e+05 2.743121354982623883e-01 7.256878645017376117e-01
9.666666666666666288e+02 1.013250000000000000e+05 2.553998334825433592e-01 7.446001665174565298e-01
9.666666666666666288e+02 1.013250000000000000e+05 2.354753992242333005e-01 7.645246007757666717e-01
9.666666666666666288e+02 1.013250000000000000e+05 2.144553491950565716e-01 7.855446508049434007e-01
9.666666666666666288e+02 1.013250000000000000e+05 1.922467590210067412e-01 8.077532409789932588e-01
9.666666666666666288e+02 1.013250000000000000e+05 1.687458901169012204e-01 8.312541098830987796e-01
9.666666666666666288e+02 1.013250000000000000e+05 1.438365693957185942e-01 8.561634306042813503e-01
9.666666666666666288e+02 1.013250000000000000e+05 1.173882686572268880e-01 8.826117313427730426e-01
9.666666666666666288e+02 1.013250000000000000e+05 8.925381664397938342e-02 9.107461833560206443e-01
9.666666666666666288e+02 1.013250000000000000e+05 5.926665910131902193e-02 9.407333408986811030e-01
9.777777777777778283e+02 1.013250000000000000e+05 2.743121354982623883e-01 7.256878645017376117e-01
9.777777777777778283e+02 1.013250000000000000e+05 2.553998334825433592e-01 7.446001665174565298e-01
